Student ID,Drink Name,Size,Sugar %,Milk,Whip,Price($),Calories
2001,Vanilla Latte,grande,0,2,0,$5.90,255 kcal
2002,Cold Brew,grande,50,2,0,$5.65,105 kcal
2003,Black Tea,grande,25,0,0,$4.75,35 kcal
2004,Chai Tea,grande,100,4,0,$3.85,240 kcal
2005,Matcha Latte,vendi,100,5,0,$4.20,305 kcal
2006,Black Tea,grande,100,0,0,$4.89,45 kcal
2007,Iced Matcha,grande,50,1,2,$5.76,260 kcal
2008,Latte,tall,100,1,0,$5.29,150 kcal
2009,Latte,short,75,1,0,$5.20,120 kcal
2010,Iced Matcha,tall,75,3,0,$3.98,225 kcal
2011,Cold Brew,tall,100,0,0,$5.37,80 kcal
2012,Mocha,grande,100,0,1,$4.66,290 kcal
2013,Cappuccino,venti,75,5,0,$4.44,205 kcal
2014,Vanilla Latte,grande,100,1,0,$5.63,255 kcal
2015,Matcha Latte,tall,100,5,0,$5.04,255 kcal
2016,Iced Americano,venti,25,0,0,$5.78,110 kcal
2017,Espresso,grande,75,0,0,$3.49,65 kcal
2018,Espresso,short,25,0,0,$3.35,10 kcal
2019,Black Tea,tall,50,4,0,$4.73,35 kcal
2020,Matcha Latte,short,50,3,0,$5.14,225 kcal
2021,White Mocha,tall,25,2,1,$3.96,350 kcal
2022,Hot Chocolate,short,0,2,3,$3.98,275 kcal
2023,Caramel Frappuccino,short,100,2,1,$5.23,300 kcal
2024,Vanilla Latte,short,25,1,2,$4.39,200 kcal
2025,Caramel Latte,short,0,5,3,$3.37,200 kcal
2026,Vanilla Latte,grande,50,1,0,$4.90,245 kcal
2027,Cold Brew,venti,50,0,0,$5.31,115 kcal
2028,Strawberry Cream,tall,100,5,0,$4.75,370 kcal
2029,Black Tea,grande,50,0,0,$3.72,45 kcal
2030,Vanilla Latte,grande,0,4,0,$5.61,230 kcal
2031,Espresso,short,0,0,0,$4.55,5 kcal
2032,Strawberry Cream,grande,25,5,0,$4.93,385 kcal
2033,Hot Chocolate,grande,25,5,0,$4.28,320 kcal
2034,Caramel Frappuccino,tall,100,2,0,$5.45,320 kcal
2035,Strawberry Cream,venti,25,5,0,$4.37,395 kcal
2036,Cold Brew,grande,25,0,0,$4.01,100 kcal
2037,Mocha,short,0,2,1,$2.87,235 kcal
2038,Chai Tea,short,75,0,0,$4.07,210 kcal
2039,Mocha,venti,100,2,1,$5.07,320 kcal
2040,Espresso,grande,100,0,0,$3.89,65 kcal
2041,Vanilla Latte,tall,100,1,0,$4.57,220 kcal
2042,Cold Brew,grande,100,0,0,$4.94,105 kcal
2043,Latte,grande,0,2,0,$4.62,160 kcal
2044,Caramel Latte,tall,75,5,3,$4.26,185 kcal
2045,Matcha Latte,grande,75,0,0,$5.19,295 kcal
2046,Caramel Latte,short,50,1,0,$4.62,200 kcal
2047,Hot Chocolate,grande,50,5,1,$5.02,320 kcal
2048,Flat White,short,50,2,0,$4.40,155 kcal
2049,Vanilla Latte,short,0,5,0,$3.50,185 kcal
2050,Hazelnut Latte,venti,0,1,0,$3.82,285 kcal
2051,Iced Americano,mini,75,0,0,$3.53,25 kcal
2052,Flat White,grande,0,2,0,$5.60,235 kcal
2053,Matcha Latte,mini,50,0,0,$5.67,270 kcal
2054,Green Tea Lemonade,grande,100,0,0,$4.58,155 kcal
2055,Caramel Frappuccino,short,75,2,1,$2.78,320 kcal
2056,Iced Matcha,venti,100,3,0,$5.89,290 kcal
2057,White Mocha,venti,50,4,1,$4.79,375 kcal
2058,Iced Americano,grande,100,0,0,$4.36,65 kcal
2059,Iced Matcha,tall,50,4,0,$4.74,235 kcal
2060,White Mocha,grande,0,0,1,$5.24,360 kcal
2061,Caramel Latte,grande,0,1,0,$3.85,235 kcal
2062,Espresso,grande,50,0,0,$5.29,40 kcal
2063,White Mocha,short,0,1,1,$4.19,315 kcal
2064,Vanilla Latte,grande,25,1,0,$4.37,230 kcal
2065,Matcha Latte,short,25,5,0,$4.84,225 kcal
2066,Latte,grande,75,1,0,$5.51,175 kcal
2067,Caramel Latte,mega,25,1,0,$5.61,185 kcal
2068,Green Tea Lemonade,short,25,0,0,$2.94,85 kcal
2069,Strawberry Cream,short,0,5,0,$2.77,350 kcal
2070,Cold Brew,tall,75,2,0,$5.24,100 kcal
2071,Americano,grande,50,4,0,$4.44,70 kcal
2072,Matcha Latte,grande,25,3,0,$4.64,295 kcal
2073,Strawberry Cream,tall,50,1,3,$4.51,335 kcal
2074,Cold Brew,short,25,0,0,$4.81,80 kcal
2075,Latte,grande,25,1,0,$3.51,160 kcal
2076,Green Tea Lemonade,tall,0,0,0,$5.09,120 kcal
2077,Cappuccino,grande,25,5,0,$5.64,180 kcal
2078,Chai Tea,grande,50,3,0,$5.47,250 kcal
2079,Caramel Latte,venti,25,0,0,$6.18,270 kcal
2080,Matcha Latte,grande,75,3,0,$4.73,305 kcal
2081,Chai Tea,tall,25,5,0,$4.48,230 kcal
2082,Americano,short,75,0,0,$3.18,5 kcal
2083,Matcha Latte,venti,100,3,0,$4.58,330 kcal
2084,Flat White,short,100,2,0,$3.34,155 kcal
2085,Cappuccino,short,0,1,0,$3.57,135 kcal
2086,Espresso,grande,25,0,0,$4.72,55 kcal
2087,Hot Chocolate,grande,0,1,1,$4.16,310 kcal
